,p(d),P(d),r(d),L(d),1/L(d),H(d),h(d),r_
0.835,0.12024123391250638,2.2386935675367994,1.4694349563061366,4.751405846836501,0.21046402522440866,8.316614587701675,1.7503481823677303,1
0.84,0.11994100626864847,2.233103823709066,1.4596713049303267,4.783187707640918,0.20906559832526472,8.337432135262912,1.7430702378550302,1
0.845,0.11964152825647019,2.227528036787501,1.4499725280750113,4.81518215535303,0.20767646326490508,8.35830179180213,1.7358225550221855,1
0.85,0.11934279800423298,2.221966171923417,1.440338194681845,4.847390611953561,0.20629655830376484,8.379223687754756,1.7286050080411863,1
0.855,0.11904481364487175,2.21641819435514,1.4307678765566465,4.879814508934771,0.20492582211250748,8.400197953882708,1.7214174716072173,1
0.86,0.11874757331598335,2.2108840694077925,1.421261148350368,4.912455287364083,0.20356419376929907,8.421224721275214,1.7142598209364792,1
0.865,0.1184510751598147,2.205363762493076,1.4118175875401915,4.945314397948138,0.20221161275709998,8.442304121349643,1.7071319317640234,1
0.87,0.11815531732325141,2.1998572391090545,1.4024367744107484,4.978393301097257,0.20086801896097606,8.46343628585231,1.7000336803415947,1
0.875,0.11786029795780598,2.1943644648399374,1.3931182920354663,5.01169346699036,0.19953335266542618,8.484621346859315,1.692964943435483,1
0.88,0.11756601521960647,2.1888854053558693,1.3838617262580395,5.045216375640299,0.19820755455172878,8.505859436777357,1.685925598324385,1
0.885,0.11727246726938477,2.18342002641271,1.3746666656740207,5.078963516959646,0.19689056569530491,8.527150688344566,1.6789155227972703,1
0.89,0.11697965227246523,2.177968293851823,1.365532701612537,5.1129363908269045,0.19558232756309962,8.548495234631337,1.6719345951512623,1
0.895,0.11668756839875323,2.1725301735998626,1.3564594281181266,5.147136507153165,0.1942827820109809,8.56989320904115,1.6649826941895272,1
0.9,0.11639621382272354,2.1671056316685586,1.3474464419326961,5.181565385949235,0.19299187128115441,8.591344745311417,1.6580596992191634,1
0.905,0.11610558672340913,2.1616946341545074,1.338493342477598,5.216224557393171,0.19170953799959753,8.612849977514308,1.6511654900491122,1
0.91,0.11581568528438971,2.1562971472389565,1.3295997318358277,5.251115561898295,0.19043572517350899,8.634409040057596,1.64429994698807,1
0.915,0.1155265076937803,2.1509131371875947,1.3207652147343365,5.286239950181666,0.18917037618877558,8.656022067685491,1.6374629508424074,1
0.92,0.11523805214422005,2.1455425703503423,1.3119893985264661,5.321599283332985,0.18791343480745648,8.677689195479486,1.630654382914104,1
0.925,0.11495031683286083,2.140185413161139,1.3032718931744958,5.357195132883991,0.1866648451652834,8.699410558859201,1.6238741249986843,1
0.93,0.11466329996135598,2.134841632137734,1.2946123112323085,5.393029080878307,0.1854245517691776,8.721186293583228,1.6171220593831654,1
0.935,0.11437699973584917,2.1295111938814797,1.28601026782817,5.429102719941735,0.18419249949478428,8.743016535749977,1.6103980688440183,1
0.9400000000000001,0.11409141436696302,2.124194065077119,1.2774653806476242,5.465417653353063,0.18296863358402166,8.764901421798536,1.6037020366451267,1
0.9450000000000001,0.11380654206978805,2.11889021249258,1.268977269916501,5.501975495115311,0.18175289964264768,8.786841088509512,1.5970338465357625,1
0.9500000000000001,0.11352238106387147,2.113599602978766,1.2605455583840373,5.538777870027464,0.18054524363784272,8.808835673005897,1.59039338274857,1
0.9550000000000001,0.1132389295732061,2.108322203469351,1.2521698713061102,5.575826413756684,0.17934561189580778,8.830885312753908,1.5837805299975516,1
